city,neighborhood,borough,year,average_rent,median_price,listing_count,sales_count,coverage_score,property_type
Montreal,Plateau-Mont-Royal,Le Plateau-Mont-Royal,2016,1240.0,470000.0,304,97,0.89,all
Montreal,Plateau-Mont-Royal,Le Plateau-Mont-Royal,2017,1296.0,494440.0,310,100,0.9,all
Montreal,Plateau-Mont-Royal,Le Plateau-Mont-Royal,2018,1354.0,520151.0,316,104,0.91,all
Montreal,Plateau-Mont-Royal,Le Plateau-Mont-Royal,2019,1415.0,547199.0,304,107,0.92,all
Montreal,Plateau-Mont-Royal,Le Plateau-Mont-Royal,2020,1479.0,575653.0,310,97,0.93,all
Montreal,Plateau-Mont-Royal,Le Plateau-Mont-Royal,2021,1545.0,605587.0,316,100,0.89,all
Montreal,Plateau-Mont-Royal,Le Plateau-Mont-Royal,2022,1615.0,637078.0,304,104,0.9,all
Montreal,Plateau-Mont-Royal,Le Plateau-Mont-Royal,2023,1687.0,670206.0,310,107,0.91,all
Montreal,Plateau-Mont-Royal,Le Plateau-Mont-Royal,2024,1763.0,705056.0,316,97,0.92,all
Montreal,Rosemont-La Petite-Patrie,Rosemont–La Petite-Patrie,2016,1140.0,408000.0,289,92,0.87,all
Montreal,Rosemont-La Petite-Patrie,Rosemont–La Petite-Patrie,2017,1189.0,427992.0,295,95,0.88,all
Montreal,Rosemont-La Petite-Patrie,Rosemont–La Petite-Patrie,2018,1240.0,448964.0,301,97,0.89,all
Montreal,Rosemont-La Petite-Patrie,Rosemont–La Petite-Patrie,2019,1293.0,470963.0,289,100,0.9,all
Montreal,Rosemont-La Petite-Patrie,Rosemont–La Petite-Patrie,2020,1349.0,494040.0,295,92,0.91,all
Montreal,Rosemont-La Petite-Patrie,Rosemont–La Petite-Patrie,2021,1407.0,518248.0,301,95,0.87,all
Montreal,Rosemont-La Petite-Patrie,Rosemont–La Petite-Patrie,2022,1468.0,543642.0,289,97,0.88,all
Montreal,Rosemont-La Petite-Patrie,Rosemont–La Petite-Patrie,2023,1531.0,570281.0,295,100,0.89,all
Montreal,Rosemont-La Petite-Patrie,Rosemont–La Petite-Patrie,2024,1597.0,598224.0,301,92,0.9,all
Montreal,Verdun,Verdun,2016,1060.0,360000.0,260,79,0.86,all
Montreal,Verdun,Verdun,2017,1107.0,377280.0,265,82,0.87,all
Montreal,Verdun,Verdun,2018,1155.0,395389.0,270,84,0.88,all
Montreal,Verdun,Verdun,2019,1206.0,414368.0,260,87,0.89,all
Montreal,Verdun,Verdun,2020,1259.0,434258.0,265,79,0.9,all
Montreal,Verdun,Verdun,2021,1315.0,455102.0,270,82,0.86,all
Montreal,Verdun,Verdun,2022,1372.0,476947.0,260,84,0.87,all
Montreal,Verdun,Verdun,2023,1433.0,499841.0,265,87,0.88,all
Montreal,Verdun,Verdun,2024,1496.0,523833.0,270,79,0.89,all
Montreal,Ville-Marie,Ville-Marie,2016,1360.0,505000.0,323,106,0.9,all
Montreal,Ville-Marie,Ville-Marie,2017,1423.0,531765.0,330,109,0.91,all
Montreal,Ville-Marie,Ville-Marie,2018,1488.0,559949.0,337,113,0.92,all
Montreal,Ville-Marie,Ville-Marie,2019,1556.0,589626.0,323,116,0.93,all
Montreal,Ville-Marie,Ville-Marie,2020,1628.0,620876.0,330,106,0.94,all
Montreal,Ville-Marie,Ville-Marie,2021,1703.0,653782.0,337,109,0.9,all
Montreal,Ville-Marie,Ville-Marie,2022,1781.0,688433.0,323,113,0.91,all
Montreal,Ville-Marie,Ville-Marie,2023,1863.0,724920.0,330,116,0.92,all
Montreal,Ville-Marie,Ville-Marie,2024,1949.0,763341.0,337,106,0.93,all
Montreal,Villeray-Saint-Michel-Parc-Extension,Villeray–Saint-Michel–Parc-Extension,2016,1010.0,342000.0,274,86,0.85,all
Montreal,Villeray-Saint-Michel-Parc-Extension,Villeray–Saint-Michel–Parc-Extension,2017,1052.0,358074.0,280,89,0.86,all
Montreal,Villeray-Saint-Michel-Parc-Extension,Villeray–Saint-Michel–Parc-Extension,2018,1097.0,374903.0,286,91,0.87,all
Montreal,Villeray-Saint-Michel-Parc-Extension,Villeray–Saint-Michel–Parc-Extension,2019,1143.0,392524.0,274,94,0.88,all
Montreal,Villeray-Saint-Michel-Parc-Extension,Villeray–Saint-Michel–Parc-Extension,2020,1191.0,410973.0,280,86,0.89,all
Montreal,Villeray-Saint-Michel-Parc-Extension,Villeray–Saint-Michel–Parc-Extension,2021,1241.0,430288.0,286,89,0.85,all
Montreal,Villeray-Saint-Michel-Parc-Extension,Villeray–Saint-Michel–Parc-Extension,2022,1293.0,450512.0,274,91,0.86,all
Montreal,Villeray-Saint-Michel-Parc-Extension,Villeray–Saint-Michel–Parc-Extension,2023,1347.0,471686.0,280,94,0.87,all
Montreal,Villeray-Saint-Michel-Parc-Extension,Villeray–Saint-Michel–Parc-Extension,2024,1404.0,493855.0,286,86,0.88,all
Montreal,Sud-Ouest,Le Sud-Ouest,2016,1280.0,452000.0,299,95,0.88,all
Montreal,Sud-Ouest,Le Sud-Ouest,2017,1340.0,476408.0,305,98,0.89,all
Montreal,Sud-Ouest,Le Sud-Ouest,2018,1403.0,502134.0,311,100,0.9,all
Montreal,Sud-Ouest,Le Sud-Ouest,2019,1469.0,529249.0,299,103,0.91,all
Montreal,Sud-Ouest,Le Sud-Ouest,2020,1538.0,557829.0,305,95,0.92,all
Montreal,Sud-Ouest,Le Sud-Ouest,2021,1610.0,587951.0,311,98,0.88,all
Montreal,Sud-Ouest,Le Sud-Ouest,2022,1686.0,619701.0,299,100,0.89,all
Montreal,Sud-Ouest,Le Sud-Ouest,2023,1765.0,653165.0,305,103,0.9,all
Montreal,Sud-Ouest,Le Sud-Ouest,2024,1848.0,688436.0,311,95,0.91,all
Montreal,Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,2016,940.0,320000.0,245,74,0.84,all
Montreal,Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,2017,981.0,336000.0,250,76,0.85,all
Montreal,Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,2018,1025.0,352800.0,255,78,0.86,all
Montreal,Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,2019,1070.0,370440.0,245,80,0.87,all
Montreal,Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,2020,1117.0,388962.0,250,74,0.88,all
Montreal,Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,2021,1166.0,408410.0,255,76,0.84,all
Montreal,Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,2022,1217.0,428831.0,245,78,0.85,all
Montreal,Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,2023,1271.0,450272.0,250,80,0.86,all
Montreal,Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,2024,1327.0,472786.0,255,74,0.87,all
Montreal,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,2016,1090.0,372000.0,279,84,0.86,all
Montreal,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,2017,1137.0,390228.0,285,87,0.87,all
Montreal,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,2018,1186.0,409349.0,291,89,0.88,all
Montreal,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,2019,1237.0,429407.0,279,92,0.89,all
Montreal,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,2020,1290.0,450448.0,285,84,0.9,all
Montreal,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,2021,1345.0,472520.0,291,87,0.86,all
Montreal,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,2022,1403.0,495674.0,279,89,0.87,all
Montreal,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,2023,1464.0,519962.0,285,92,0.88,all
Montreal,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,2024,1527.0,545440.0,291,84,0.89,all
